site_code,quadrant
AMM,6
ANS,5
APP,5
BAN,1
BER,5
BOS,5
BUU,5
CAC,6
DAE,5
DAL,1
DVZ,5
DIN,1
DLO,9
DON,3
DWV,5
DWZ,5
DWI,5
EDM,1
GOT,5
HAR,7
GRO,9
HOC,6
HOG,5
KAT,1
KEV,4
KYR,5
KYR,8
LAH,2
LAK,4
LAN,1
LBZ,5
LIE,5
MAY,7
MAR,5
MAL,3
MET,13
MIR,2
MZR,5
MON,2
MOU,6
MTV,6
MUR,6
NAG,1
OKE,1
OOS,5
OWM,5
OUL,7
PEE,5
PIL,9
PIR,6
REV,5
ROU,6
RUI,5
SAG,3
SSQ,10
SEK,8
SIL,1
SZE,9
TEI,1
TOR,5
VAL,2
VEL,9
VIL,9
VLI,5
VOS,5
WAR,5
WES,5
WHZ,6
WYT,1
ZVE,11
